Aushilfe gesucht	SpongeBob möchte in seinem Lieblingsrestaurant Krossen Krabbe arbeiten. Er muss einen Eignungstest von Mr. Krabs bestehen, um offizieller Burgerbrater zu werden.
Meeresbodenpflege	Eine kurze Episode, in der nicht gesprochen wird und in der es darum geht, dass SpongeBob Thaddäus’ Garten „beschmutzt“.
Experten	SpongeBob lernt das Landeichhörnchen Sandy, die ihn zu sich in ihre Baumkuppel einlädt. Doch SpongeBob versteht das Wort „Luft“ falsch und kriegt schon bald Probleme.
Seifenblasen	SpongeBob eröffnet einen Seifenblasenstand und Patrick muss als erster Kunde eine herbe Enttäuschung einstecken.
Der Riss in der Hose	SpongeBob will bei den anderen an der Goo Lagoon ankommen, doch dann zerreißt er versehentlich seine Hose … ob er auch damit Eindruck schinden kann?
Quallenfischer	SpongeBob und Patrick wollen Thaddäus, welcher mit dem Fahrrad verunglückt und im Rollstuhl sitzt, vom Quallenfischen überzeugen.
Plankton!	Plankton klinkt sich in SpongeBobs Gehirn ein und steuert seine Gedanken, um an die Krabbenburgerformel zu kommen.
Freunde und Nachbarn	Thaddäus spielt SpongeBob und Patrick einen Streich, um zu erreichen, dass sie ihn mit ihrem Gekicher in Ruhe lassen. Doch als die Freundschaft der beiden dadurch zerbricht, wollen sie die besten Freunde von Thaddäus werden.
Prüfungsangst	Weil SpongeBob die Führerscheinprüfung allein nicht bestehen kann, hilft Patrick ihm per Funk beim Fahren.
Pizza-Heimservice	Die Krosse Krabbe liefert ihre erste Pizza aus. Doch der Weg zum Kunden muss erst einmal zurückgelegt werden.
Heimat, süße Ananas	Fadenwürmer fallen über SpongeBobs Haus her. Nun braucht dieser ein neues Heim.
Superhelden im Ruhestand	Die Superhelden Meerjungfraumann und Blaubarschbube sind im Ruhestand. Doch SpongeBob will sie wieder aktiv kriegen, indem er sie an frühere Zeiten und Heldentaten erinnert.
Gedächtnisverlust	Der dicke Blubberbernd bemängelt SpongeBobs Krabbenburger so sehr, dass dieser einen Gedächtnisverlust erleidet.
Die Aufsichtsperson	SpongeBob wird Aufsichtsperson in der Bootsfahrschule, doch später weitet er seinen Dienst auch auf ganz Bikini Bottom aus.
Disco-Quallen	Ein Quallenschwarm feiert stundenlang in SpongeBobs Wohnung.
Sandys Rakete	SpongeBob und Patrick fliegen mit Sandys Rakete zum Mond, um nach Aliens zu suchen.
Quietschende Schuhe	Ein an SpongeBob ausgehändigtes Paar Burgerbrater-Stiefel quietscht schrecklich und treibt Mr. Krabs allmählich in den Wahnsinn.
Zurück zur Natur	SpongeBob träumt von einem Leben unter den Quallen und gibt hierfür sein gewöhnliches Leben auf.
Im Gegenteil	Thaddäus will endgültig aus Bikini Bottom wegziehen und erfindet deshalb für SpongeBob den Gegenteiltag.
Kulturschock	Wegen fehlender Kundschaft veranstaltet Mr. Krabs einen bunten Abend mit einer Talentshow in der Krossen Krabbe. Thaddäus sieht darin die Chance, endlich berühmt zu werden.
F.U.N.	SpongeBob unterweist Plankton in der hohen Kunst des Spaßhabens.
Aufgeblasen	Um auch mal dicke Muskeln zu bekommen, besorgt sich SpongeBob ein Paar aufblasbare Armattrappen.
Die Wachsfigur	SpongeBob und Patrick meinen, Thaddäus umgebracht zu haben und nun dessen Geist zu begegnen.
Tanz’ den Schwamm	Perlas Freund sagt ab, also muss SpongeBob sie zum Abschlussball begleiten.
Mitarbeiter des Monats	Thaddäus und SpongeBob ringen diesmal beide um den Titel „Mitarbeiter des Monats“.
Das große Gruseln	SpongeBob hat es satt, dass er ständig zu Halloween von allen Leuten erschreckt wird. So will er sich dieses Halloween so verkleiden, dass er die ganze Stadt erschreckt.
Zur Schnecke gemacht	Aus Versehen hat Thaddäus SpongeBob Schneckenplasma injiziert. Deshalb verwandelt sich SpongeBob in eine Schnecke …
Die Zeitmaschine	Thaddäus will in Ruhe Klarinette spielen und versteckt sich vor SpongeBob und Patrick im Kühlraum der Krossen Krabbe. Doch dessen Tür fällt ins Schloss, sodass Thaddäus erst 2000 Jahre später in einer modernen, verchromten Krossen Krabbe aufgetaut wird.
Karatefieber	SpongeBob kann seine Finger einfach nicht vom Karate lassen. Weil er bei jedem Geräusch meint, es sei Sandy, und mit seinen Attacken die Kundschaft der Krossen Krabbe vertreibt, droht ihm Mr. Krabs mit der Kündigung.
Nur geträumt	SpongeBob gelingt es im Traum, aus seinem eigenen Traum hinaus in die Träume seiner Freunde einzudringen …
Der Blubber	SpongeBob erkrankt am Blubber und Sandy will mit ihm zum Arzt gehen. Patrick hat damit aber schlechte Erfahrungen gemacht und will dies unbedingt verhindern …
Das Valentinsgeschenk	SpongeBob verspricht Patrick zum Valentinstag das größte Geschenk aller Zeiten, aber der Plan klappt nicht wie gewünscht …
Ein kleines Stück Papier	Thaddäus gibt SpongeBob ein gebrauchtes Kaugummipapier. Weil er damit allerlei spaßige Dinge anstellt, möchte Thaddäus es unbedingt wieder zurück …
Die Schatzsuche	Weil das Brettspiel Schatz des Fliegenden Holländers auf einer echten Schatzkarte basiert, werden Mr. Krabs, SpongeBob und Patrick am nächsten Tag zu echten Piraten und heben den Schatz des Fliegenden Holländers aus.
Bus verpasst	SpongeBob und Patrick steigen in den falschen Bus und geraten in das düstere Rock Bottom.
Texas	Sandy hat furchtbares Heimweh nach Texas. SpongeBob und Patrick bereiten daraufhin eine Überraschung für sie vor.
Energisch	Plankton will SpongeBob zu energischem Verhalten treiben, um mit seiner Hilfe einen Freizeitpark errichten.
Aprilscherze	Thaddäus verletzt SpongeBob, nachdem dieser ihn mit ständigen Aprilscherzen gestört hat. Nun muss er sich bei ihm entschuldigen…
Ein göttlicher Burger	SpongeBob zieht den goldenen Pfannenwender aus dem Bratfett, was ihn zum rechtmäßigen Burgerbrater von Neptun macht.
Am Haken	SpongeBob und Patrick spielen mit gefährlichen Angelhaken.
Rückkehr der Superhelden	SpongeBob gewinnt bei einem Preisausschreiben dank einer genialen Erfindung ein Muschelhorn. Beim Blasen des Horns tanzen jedes Mal Meerjungfraumann und Blaubarschbube an, doch denen geht es bald zu weit.
Hey, dein Schuh ist offen	SpongeBob will Patrick zeigen, wie man sich die Schuhe zubindet. Doch plötzlich hat er es selbst vergessen.
Der Stellvertreter	Mr. Krabs reißt sich unglücklich beide Arme raus und landet im Krankenhaus. Nun soll Thaddäus das Ruder der Krossen Krabbe übernehmen. Da dieser aber lieber einen freien Tag haben möchte, übergibt er die Aufgabe an SpongeBob…
Mundgeruch	SpongeBob denkt, er sei hässlich, obwohl er in Wahrheit nur abstoßenden Mundgeruch hat.
Die Kuschel-Krabbe	Mr. Krabs lässt seine Tochter Perla die Krosse Krabbe führen und moderner gestalten.
Dick, rosa und dumm	Patrick ist neidisch auf SpongeBob, weil dieser so viele Preise und Auszeichnungen bekommt.
Bernhard Blase	Weil niemand für ihn da ist, bläst sich SpongeBob eine „Kumpelblase“. Doch dieser richtet viel Chaos in der Stadt an.
Die Kuchen-Bombe	Thaddäus besorgt für SpongeBob einen Kuchen, der jedoch ohne sein Wissen eine gefährliche Bombe beinhaltet.
Der Doppelgänger	Plankton schlüpft in die Gestalt eines Mr. Krabs-Roboters, um die Krabbenburgerformel zu stehlen. SpongeBob muss nun den echten Mr. Krabs erkennen…
Wurmi	SpongeBob und Patrick halten Sandys Haustier Wurmi nach dessen Metamorphose für ein Monster.
Eine gute Idee	SpongeBob eröffnet einen Bunte-Burger-Stand der zum vollen Erfolg wird. Sehr zum Leidwesen von Mr. Krabs.
Omas Liebling	SpongeBob wird von seiner Oma so kindisch behandelt, dass er überall in der Stadt ausgelacht wird. Daraufhin möchte er von nun an als Erwachsener behandelt werden.
Das Tentakel-Paradies	Weil SpongeBob und Patrick Thaddäus mit ihren Laubgebläsen stören, zieht er in das Tintenfischen vorbehaltene Tentakel-Paradies.
Bis zur Erschöpfung	Sandy hat es eilig und will vor dem Winterschlaf mit SpongeBob noch mal richtig viel Spaß haben. Doch SpongeBob sind Sandys „Spiele“ zu extrem …
Ganoven	SpongeBob und Patrick wollten sich nur heimlich einen Ballon leihen, doch der zerplatzt und nun meinen die beiden, sie hätten ihn geklaut …
Weihnachten unter Wasser	SpongeBob erzählt allen von Weihnachten. Die ganze Stadt ist in Weihnachtsfreude, nur Thaddäus glaubt den Blödsinn nicht.
Ein harter Winter	SpongeBob und Patrick haben sich aus Versehen in Sandys Kuppel eingeschlossen, in der gerade Winter herrscht. Nun müssen die beiden dort drinnen überleben …
Allein gelassen	Gary verbringt seine Zeit statt mit SpongeBob lieber mit Patrick.
Der Schrecken der Straße	Mrs. Puff händigt SpongeBob unvorsichtigerweise den Führerschein aus, damit sie ihn los wird. Und zu allem Überfluss schenken dessen Eltern ihm auch noch ein eigenes Boot …
Der Fan	Da SpongeBob zu den Quallenjägern gehören möchte, geht er mit seinem Idol Kevin die Seegurke auf Quallenjagd.
Heldenhafte Urlaubsvertreter	SpongeBob und Patrick passen über die Ferien auf Meerjungfraumann und Blaubarschbubes Heldenhöhle auf und lassen versehentlich den gefährlichen Mantarochen frei.
Eichhörnchen-Witze	SpongeBob erzählt bei einem Komiker-Abend verschiedene Eichhörnchen-Witze. Sandy fühlt sich durch die Witze beleidigt. Kann er das wieder in Ordnung bringen?
Zu Wasser und zu Land	SpongeBob und die anderen behaupten, Meeresbewohner wären besser als Landbewohner, Sandy meint wiederum das Gegenteil, was in einen heftigen Streit ausartet.
Rauchende Erdnüsse	SpongeBob bewirft unbemerkt eine Auster mit einer Erdnuss. Die Auster schreit wie am Spieß. Nun hat er Gewissensängste, da die Polizei und Patrick in dem Fall ermitteln …
Geisterfahrer	SpongeBob, Patrick und Thaddäus werden Crewmitglieder beim Fliegenden Holländer, weil sie in dessen Schiff eingedrungen sind.
